Date,"Alberta, Canada","British Columbia, Canada","Ontario, Canada","Saskatchewan, Canada",Market Category
12/1/2019,0,0,0,0,Vapor Pens
12/1/2020,886617,0,0,0,Beverages
12/1/2020,543116,0,0,0,Capsules
12/1/2020,1528961,0,0,0,Concentrates
12/1/2020,2424900,0,0,0,Edibles
12/1/2020,29188614,0,0,0,Flower
12/1/2020,1542934,0,0,0,Oil
12/1/2020,9965390,0,0,0,Pre-Rolls
12/1/2020,17726,0,0,0,Tincture-Sublinguals
12/1/2020,204549,0,0,0,Topical
12/1/2020,9863040,0,0,0,Vapor Pens
